item,genre,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
738,Comedy,2hhFpD32iXUd4GaCu6T4wn,Everyday Normal Guy 2,Jon Lajoie,0.823,0.731,3,1,-4.273,0.307,0.42,0.0,0.306,0.876,90.302,195693
739,Comedy,1g5RHGR5IPNmcID8BJBMaa,Video Games,Tenacious D,0.621,0.688,2,1,-7.598,0.227,0.228,0.0,0.0907,0.842,120.959,75715
740,Country Blues,1NoIZ1658UHpicKQ9rcWYh,Corinna - From The Natch'l Blues,Taj Mahal,0.623,0.286,9,1,-13.288,0.0991,0.486,4.44e-05,0.0884,0.734,79.106,182507
741,Country Blues,5MTsZG10E0hTvAkdioyPnw,Feels Like Rain (feat. Bonnie Raitt),Buddy Guy,0.572,0.348,0,1,-13.454,0.0294,0.44,0.000721,0.235,0.34,73.304,275267
742,Country Blues,63vUX4fixN873tbuAfUbaH,Lovin' in My Baby's Eyes,Taj Mahal,0.599,0.546,10,1,-8.866,0.0328,0.766,1.91e-06,0.104,0.493,85.321,160360
743,Country Blues,5bC6ONDsL88snGN6QasjZH,Help Me,Sonny Boy Williamson II,0.745,0.436,5,0,-9.617,0.043,0.597,0.0213,0.61,0.771,114.216,188200
744,Country Blues,3mtUR8aNUoMblqX49YzVF3,Life Is Beautiful,Keb' Mo',0.651,0.462,2,1,-9.011,0.0336,0.81,3.3e-06,0.136,0.567,80.289,256493
745,Country Blues,5LmmZgxFg1sSfxENxsdtak,Meet Me in the City,Junior Kimbrough,0.566,0.64,2,1,-7.88,0.0249,0.903,0.474,0.134,0.332,133.53,151360
746,Country Blues,6kqXaZrIDOmA177KL9LHHf,Queen Bee,Taj Mahal,0.635,0.454,0,0,-9.457,0.0393,0.417,4.02e-05,0.0816,0.531,79.097,280080
747,Country Blues,1aHR9fHIvmcNQ9oOVqQExT,Bring It On Home,Sonny Boy Williamson II,0.827,0.396,9,1,-11.511,0.0388,0.616,0.00533,0.126,0.586,110.997,156867
748,Country Blues,13U0E6CXh2dnEi6eDzNyK0,Where Did You Sleep Last Night,Lead Belly,0.57,0.241,4,1,-12.138,0.0473,0.948,0.0224,0.111,0.543,115.352,181893
749,Country Blues,5CdoLhKBjtDUTnA0EdJCfk,Back To New Orleans,Lightnin' Hopkins,0.629,0.275,4,1,-17.572,0.0606,0.889,0.00747,0.107,0.666,81.98,201733
750,Country Dawn,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,0.519,0.749,6,0,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,199947
751,Country Dawn,6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,Shania Twain,0.657,0.639,10,1,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,234493
752,Country Dawn,4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,0.554,0.783,6,1,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467
753,Country Dawn,1io22Thmgw4SvhVBNawJD5,I'll Be Lovin' You,Miranda Lambert,0.6,0.748,11,1,-5.565,0.0366,0.121,0.0552,0.0874,0.825,135.057,189173
754,Country Dawn,6Lmx6bz3PGYuNSjKMnYBOa,"Heads Carolina, Tails California",Jo Dee Messina,0.607,0.815,4,1,-6.619,0.039,0.0471,2.81e-05,0.111,0.57,136.949,209760
755,Country Dawn,1xdsRkWxWWUkKhh9hRtfYp,Out Of That Truck,Carrie Underwood,0.563,0.755,5,1,-4.504,0.0253,0.0134,0.0,0.399,0.811,92.988,177400
756,Country Dawn,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Lady A,0.587,0.622,4,1,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573
757,Country Dawn,3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,The Chicks,0.467,0.622,6,1,-7.255,0.031,0.365,0.00527,0.0982,0.455,164.418,287267
758,Country Dawn,2mXsZsJBThTaJXbNcg5QD4,Mama's Broken Heart,Miranda Lambert,0.768,0.809,4,0,-4.204,0.0616,0.278,0.0,0.139,0.748,111.989,177773
759,Country Dawn,0pdfN7nOHMYmKykzu1cyfm,Any Man Of Mine,Shania Twain,0.592,0.725,8,1,-8.698,0.0412,0.207,0.0,0.148,0.784,78.235,246760
